,address,city,cuisines,latitude,longitude,name,postalcode,websites
1984,24635 Madison Ave,Murrieta,Mexican,33.563071489,-117.20722756,La Pasadita Taco Shop,92562,http://lapasaditatacoshop.com
1985,24635 Madison Ave,Murrieta,Mexican,33.563071489,-117.20722756,La Pasadita Taco Shop,92562,http://lapasaditatacoshop.com
1986,24635 Madison Ave,Murrieta,Mexican,33.563071489,-117.20722756,La Pasadita Taco Shop,92562,http://lapasaditatacoshop.com
1987,3340 Grand Ave,Oakland,"Mexican,Mexican Restaurants",37.813435,-122.24672,Connie's Cantina,94610,http://conniescantina.com
1988,2829 Ala Kalanikaumaka St,Koloa,Mexican,21.883948,-159.469493,Tr Cantina & Margarita Bar (downstairs),96756,http://www.trcantina.com/
2007,800 W Eldorado Pkwy,Little Elm,Latin American Restaurants,33.155006,-96.94639,Mary's Bakery,75068,"http://marys-bakery.com,http://www.marys-bakery.com"
2008,800 W Eldorado Pkwy,Little Elm,Latin American Restaurants,33.155006,-96.94639,Mary's Bakery,75068,"http://marys-bakery.com,http://www.marys-bakery.com"
2009,800 W Eldorado Pkwy,Little Elm,Latin American Restaurants,33.155006,-96.94639,Mary's Bakery,75068,"http://marys-bakery.com,http://www.marys-bakery.com"
2011,604 Fernway Ave,Durham,Latin American Restaurants,36.000034,-78.905564,Gonza Tacos Y Tequila - Durham,27701,http://www.gonzatacosytequila.com/
2024,11 Temple Pl,Boston,"Mexican Restaurants,Mexican",42.355515,-71.06269,Herreras Mexican Grille,2111,"http://www.herrerasmexicangrill.com,http://www.herrerasmexicangrill.com/"
2025,11 Temple Pl,Boston,"Mexican Restaurants,Mexican",42.355515,-71.06269,Herreras Mexican Grille,2111,"http://www.herrerasmexicangrill.com,http://www.herrerasmexicangrill.com/"
2026,771 W Sherman Blvd,Muskegon,Mexican,43.205098,-86.262334,G&l Chili Dogs,49441,
2039,100 Allyn St,Hartford,Latin American Restaurants,41.768543,-72.67808,Agave Grill,06103-1423,http://woodntap.com
2040,100 Allyn St,Hartford,Latin American Restaurants,41.768543,-72.67808,Agave Grill,06103-1423,http://woodntap.com
2041,175 Cesar Chavez St,Saint Paul,Mexican,44.9299316,-93.0774918,El Burrito Mercado,55107,"http://www.elburritomercado.com/,http://elburritomercado.com"
2042,175 Cesar Chavez St,Saint Paul,Mexican,44.9299316,-93.0774918,El Burrito Mercado,55107,"http://www.elburritomercado.com/,http://elburritomercado.com"
2043,175 Cesar Chavez St,Saint Paul,Mexican,44.9299316,-93.0774918,El Burrito Mercado,55107,"http://www.elburritomercado.com/,http://elburritomercado.com"
2044,175 Cesar Chavez St,Saint Paul,Mexican,44.9299316,-93.0774918,El Burrito Mercado,55107,"http://www.elburritomercado.com/,http://elburritomercado.com"
2045,175 Cesar Chavez St,Saint Paul,Mexican,44.9299316,-93.0774918,El Burrito Mercado,55107,"http://www.elburritomercado.com/,http://elburritomercado.com"
2046,1324 State St,Santa Barbara,Mexican,34.424999,-119.706566,Carlitos Cafe y Cantina,93101,"http://carlitos.com,http://www.carlitos.com"
2047,1324 State St,Santa Barbara,Mexican,34.424999,-119.706566,Carlitos Cafe y Cantina,93101,"http://carlitos.com,http://www.carlitos.com"
2048,1324 State St,Santa Barbara,Mexican,34.424999,-119.706566,Carlitos Cafe y Cantina,93101,"http://carlitos.com,http://www.carlitos.com"
2049,1324 State St,Santa Barbara,Mexican,34.424999,-119.706566,Carlitos Cafe y Cantina,93101,"http://carlitos.com,http://www.carlitos.com"
2050,4591 Mission St,San Francisco,Mexican Restaurants,37.724838536,-122.434583871,La Taqueria Menudo,94112,http://lacorneta.com
2051,4591 Mission St,San Francisco,Mexican Restaurants,37.724838536,-122.434583871,La Taqueria Menudo,94112,http://lacorneta.com
